bioguide_id,source,blame_count,compromise_count,credit_claiming_count,insult_count,policy_count,foreign_policy_count,legislative_discussion_count
B001301,newsletters,6,9,29,1,78,9,57
B001302,newsletters,66,0,5,6,104,13,38
B001302,statements,48,2,0,4,99,16,15
B001302,tweets,4,0,0,1,5,0,3
B001303,floor,0,0,2,0,0,0,0
B001303,newsletters,2,7,28,0,59,4,32
B001303,tweets,0,0,0,0,0,0,0
B001305,floor,0,0,1,0,0,0,0
B001305,tweets,0,0,0,0,0,0,0
B001306,floor,0,0,0,0,0,0,0
B001306,newsletters,1,0,9,0,25,2,16
B001306,tweets,0,0,0,0,0,0,0
B001307,floor,0,0,0,0,0,0,1
B001307,tweets,0,1,0,0,1,0,0
B001309,floor,4,0,0,0,5,0,1
B001309,newsletters,10,1,3,2,17,6,6
B001309,tweets,0,0,0,0,0,0,0
B001310,newsletters,0,0,0,0,1,0,0
B001310,tweets,0,0,0,0,0,0,0
B001311,newsletters,48,1,6,7,72,20,46
B001311,tweets,11,0,0,2,11,0,3
B001313,floor,3,2,1,0,9,0,4
B001313,newsletters,2,2,7,0,22,1,17
B001313,tweets,3,1,0,0,7,0,4
B001314,floor,3,0,1,1,7,0,1
B001314,newsletters,10,1,10,3,40,9,21
B001315,floor,0,0,0,0,0,0,0
B001315,newsletters,0,3,6,0,13,0,5
B001316,floor,0,0,0,0,0,1,0
B001316,newsletters,43,0,7,9,59,5,27
B001317,newsletters,16,0,3,3,26,3,9
B001318,floor,1,4,0,0,16,0,1
B001319,floor,0,0,1,0,0,0,0
C000059,floor,0,0,0,0,5,0,5
C000059,tweets,1,1,2,0,5,0,1
C000127,floor,0,3,1,0,19,5,12
C000127,tweets,0,0,0,0,0,0,0
C000141,floor,0,5,4,0,23,15,8
C000141,newsletters,14,6,23,1,82,0,36
C000141,tweets,1,0,1,0,7,2,3
C000174,floor,2,2,1,0,9,1,5
C000174,newsletters,0,5,3,0,16,0,14
C000174,tweets,0,1,0,0,0,0,0
C000537,floor,2,0,0,0,9,0,4
C000537,newsletters,0,1,8,0,13,0,7
C000537,tweets,0,1,0,0,0,0,0
C000880,floor,0,1,1,0,3,0,3
C000880,newsletters,0,0,1,0,7,0,4
C000880,tweets,0,0,0,9,1,9,0
C001035,statements,1,3,3,0,14,0,5
C001039,floor,0,0,0,0,0,0,0
C001039,newsletters,20,0,2,1,36,5,12
C001039,tweets,0,0,0,0,0,0,0
C001047,floor,0,0,0,2,0,0,0
C001047,newsletters,3,4,26,0,50,4,23
C001047,statements,0,3,2,0,4,0,4
C001047,tweets,0,2,1,0,2,0,1
C001051,floor,0,2,2,0,13,5,8
C001051,newsletters,7,0,12,1,49,16,27
C001051,tweets,4,0,0,0,4,0,1
C001053,newsletters,28,6,22,0,77,12,42
C001053,statements,69,33,29,19,157,38,84
C001053,tweets,1,0,0,0,1,0,0
C001054,tweets,0,0,0,0,0,0,0
C001055,floor,0,5,0,0,14,0,5
C001055,newsletters,1,6,7,0,28,4,8
C001055,tweets,0,1,1,0,3,0,3
C001056,floor,14,0,0,1,17,6,2
C001056,newsletters,18,1,2,0,40,1,7
C001056,tweets,1,0,0,0,5,2,1
C001059,statements,1,3,1,0,6,2,0
C001059,tweets,0,0,0,0,0,0,0
C001061,newsletters,0,0,0,0,0,0,0
C001061,statements,0,0,0,0,0,0,0
C001061,tweets,2,0,0,0,6,0,3
C001063,floor,0,1,0,0,2,0,2
C001063,newsletters,0,19,45,0,124,21,49
C001063,statements,63,76,65,63,102,12,47
C001063,tweets,0,0,0,0,0,0,0
C001066,newsletters,22,6,38,2,100,2,52
C001066,statements,40,41,61,0,257,3,129
C001066,tweets,0,1,1,0,3,0,1
C001067,floor,0,0,0,0,0,0,0
C001067,newsletters,1,0,0,0,10,1,0
C001067,statements,89,72,12,72,170,12,100
C001067,tweets,1,0,0,1,3,0,1
C001068,floor,2,4,1,1,42,0,21
C001068,newsletters,13,3,26,0,52,15,20
C001068,statements,28,13,63,7,145,29,58
C001068,tweets,0,0,1,2,2,0,1
C001069,floor,0,1,8,0,9,0,9
C001069,newsletters,0,8,42,0,83,9,49
C001069,statements,0,0,1,0,6,11,0
C001069,tweets,0,0,0,0,2,0,1
C001070,floor,1,1,0,0,11,8,7
C001070,newsletters,0,1,3,0,6,0,4
C001070,tweets,0,0,1,0,1,0,1
C001072,floor,0,6,2,0,23,2,18
C001072,newsletters,11,8,23,0,44,1,16
C001072,statements,7,2,0,2,9,1,4
C001072,tweets,0,0,0,0,2,0,0
C001075,statements,9,9,3,9,5,0,2
C001075,tweets,0,0,0,9,1,9,0
C001078,floor,4,4,0,1,34,22,19
C001078,newsletters,7,0,5,0,27,0,18
C001078,tweets,0,0,0,0,1,0,0
C001080,newsletters,0,0,2,0,2,0,1
C001080,statements,19,4,8,13,63,9,43
C001080,tweets,1,0,0,9,2,9,1
C001084,statements,41,23,34,33,77,0,35
C001084,tweets,0,0,0,0,0,0,0
C001087,newsletters,15,3,10,0,51,8,22
C001087,tweets,1,0,1,0,1,0,1
C001088,floor,1,4,4,0,9,13,4
C001088,tweets,1,0,1,0,3,0,1
C001090,floor,0,0,0,0,0,0,0
